user_input,retrieved_contexts,response,reference,context_recall,faithfulness,factual_correctness,answer_relevancy
My landlord refused to rent to me because I have two young children. Is that legal anywhere in the U.S.?,[],"Error: status_code: 429, body: data=None id='2b0fdd48-7f44-4589-832c-f937bf34ede9' message=""You are using a Trial key, which is limited to 10 API calls / minute. You can continue to use the Trial key for free or upgrade to a Production key with higher rate limits at 'https://dashboard.cohere.com/api-keys'. Contact us on 'https://discord.gg/XW44jPfYJu' or email us at support@cohere.com with any questions""",No. Refusing to rent based on familial status (having children under 18) violates the federal Fair Housing Act and is illegal in all 50 states.,0.0,0.0,,0.09682112705409429
I use a wheelchair and need to install grab bars in my bathroom. Can my landlord say no?,[],"Error: status_code: 429, body: data=None id='b638fbb6-d888-4f99-982c-a8e28f68c655' message=""You are using a Trial key, which is limited to 10 API calls / minute. You can continue to use the Trial key for free or upgrade to a Production key with higher rate limits at 'https://dashboard.cohere.com/api-keys'. Contact us on 'https://discord.gg/XW44jPfYJu' or email us at support@cohere.com with any questions""","No. Under the Fair Housing Act, landlords must allow reasonable modifications at the tenant’s expense for disabilities. They cannot unreasonably deny such requests.",0.0,0.0,0.0,0.06024149819614658
Is it legal for a rental ad to say 'perfect for young professionals'?,[],"Error: status_code: 429, body: data=None id='3f2290cc-2b57-4202-a933-be827695d8da' message=""You are using a Trial key, which is limited to 10 API calls / minute. You can continue to use the Trial key for free or upgrade to a Production key with higher rate limits at 'https://dashboard.cohere.com/api-keys'. Contact us on 'https://discord.gg/XW44jPfYJu' or email us at support@cohere.com with any questions""","No. This implies a preference against families with children, which violates the Fair Housing Act’s prohibition on discrimination based on familial status.",0.0,0.0,0.0,0.1145259137720499
"My landlord says emotional support animals aren’t allowed,  but I have a doctor’s note. What are my rights?",[],"Error: status_code: 429, body: data=None id='2d81cb80-4567-4095-9f39-3cab04a92e4a' message=""You are using a Trial key, which is limited to 10 API calls / minute. You can continue to use the Trial key for free or upgrade to a Production key with higher rate limits at 'https://dashboard.cohere.com/api-keys'. Contact us on 'https://discord.gg/XW44jPfYJu' or email us at support@cohere.com with any questions""","You have the right to a reasonable accommodation for an emotional support animal (ESA) under the Fair Housing Act, even in “no pets” buildings. The landlord cannot charge a pet fee, but you must provide documentation from a healthcare professional.",0.0,0.0,0.0,0.08866658746602163
I’m on Section 8 in Chicago. My landlord says the unit failed inspection—how long do they have to fix it?,[],"Error: status_code: 429, body: data=None id='9436e460-9265-4a89-b113-3670cdac9c23' message=""You are using a Trial key, which is limited to 10 API calls / minute. You can continue to use the Trial key for free or upgrade to a Production key with higher rate limits at 'https://dashboard.cohere.com/api-keys'. Contact us on 'https://discord.gg/XW44jPfYJu' or email us at support@cohere.com with any questions""","For HUD Housing Quality Standards (HQS) violations, landlords generally have 30 days to complete repairs. For life-threatening issues (e.g., gas leaks, no heat in winter), they must act within 24 hours.",0.0,0.0,0.0,0.11886821100948142
I got a pay raise. How soon do I need to report it to my Public Housing Authority?,[],"Error: status_code: 429, body: data=None id='583e8cda-1b5c-4f3a-b89a-c2faea1fba66' message=""You are using a Trial key, which is limited to 10 API calls / minute. You can continue to use the Trial key for free or upgrade to a Production key with higher rate limits at 'https://dashboard.cohere.com/api-keys'. Contact us on 'https://discord.gg/XW44jPfYJu' or email us at support@cohere.com with any questions""","You must report changes in income, household size, or address to your PHA within 10 days. Failure to do so can result in overpayment bills or loss of assistance.",0.0,0.0,0.0,0.08399887313730851
Can my PHA evict me without a hearing if I’m late on my portion of the rent?,[],"Error: status_code: 429, body: data=None id='69baea7c-4e37-418f-b90e-6fb03e7db8c6' message=""You are using a Trial key, which is limited to 10 API calls / minute. You can continue to use the Trial key for free or upgrade to a Production key with higher rate limits at 'https://dashboard.cohere.com/api-keys'. Contact us on 'https://discord.gg/XW44jPfYJu' or email us at support@cohere.com with any questions""",No. You have the right to a formal grievance hearing before your PHA can evict you for nonpayment or other lease violations. Due process is required in all HUD programs.,0.0,0.0,0.0,0.05982276073782681
Which state offers stronger rent control: California or Texas?,[],"Error: status_code: 429, body: data=None id='dd09c8d5-896b-45e5-839d-d0dde2c62380' message=""You are using a Trial key, which is limited to 10 API calls / minute. You can continue to use the Trial key for free or upgrade to a Production key with higher rate limits at 'https://dashboard.cohere.com/api-keys'. Contact us on 'https://discord.gg/XW44jPfYJu' or email us at support@cohere.com with any questions""",California offers significantly stronger rent control. It has a statewide rent cap (max 10% increase/year) and “just cause” eviction protections. Texas has no rent control and allows rent increases with only 30 days’ notice.,0.0,0.0,0.0,0.0420664916537598
"If I live in a HUD-subsidized apartment in California,  which rules apply—federal",[],"Error: status_code: 429, body: data=None id='9d09ee03-c88a-45c2-9725-00b96c8c01af' message=""You are using a Trial key, which is limited to 10 API calls / minute. You can continue to use the Trial key for free or upgrade to a Production key with higher rate limits at 'https://dashboard.cohere.com/api-keys'. Contact us on 'https://discord.gg/XW44jPfYJu' or email us at support@cohere.com with any questions""","All three layers apply, but federal HUD rules govern subsidy terms (rent calculation, inspections), while California and local laws still protect your rights as a tenant (e.g., habitability, security deposits). The most protective rule usually prevails.",0.0,0.0,0.0,0.08161948845237406
"My landlord in San Antonio won’t fix a broken heater in January. Would the rules be different if I lived in San Francisco?  State,  or local?",[],"Error: status_code: 429, body: data=None id='69f245f9-036b-467d-8dc0-598e66565aeb' message=""You are using a Trial key, which is limited to 10 API calls / minute. You can continue to use the Trial key for free or upgrade to a Production key with higher rate limits at 'https://dashboard.cohere.com/api-keys'. Contact us on 'https://discord.gg/XW44jPfYJu' or email us at support@cohere.com with any questions""","Yes. In Texas, you’d need to give written notice and allow a “reasonable time” (likely 7 days for urgent heat issues) before using remedies like repair-and-deduct. In California, the landlord must fix habitability issues within 30 days (sooner for emergencies), and retaliation is strictly prohibited. California also offers stronger enforcement through local housing authorities.",0.0,0.0,0.0,0.06437620770322283
